price,address,rooms,baths,area,image,status
2.288,"Coronel Godoy, 149, Estación Central",2,1,43,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/administration/properties/package-media/e708d6db-7c55-478a-8b2a-bdb5f42d5a1e_imgenes_1_photo13%20(1).jpeg,Disponible
1.857,"Av Maria, 6415, La Cisterna",1,1,33,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/fb2ef60c-6a76-4f5b-9b2b-50145e1fb434_718A5968.jpg,Disponible
1.795,"San Francisco, 294, Santiago",1,1,31,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/d2db1a1c-5a30-4ad4-88b2-d2ad3b7de88a_718A9498-HDR.jpg,Reservado
1.855,"Carmen, 616, Santiago",1,1,29,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/4b2ff8e6-6c95-491d-89ce-1392b0c4e915_718A0934-HDR.jpg,Disponible
5.310,"Regina Pacis, 760, Ñuñoa",2,2,75,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/8da51045-77d0-4139-903b-8b8843a046bb_WhatsApp%20Image%202025-11-13%20at%202.57.25%20PM%20(2).jpeg,Disponible
4.210,"Grecia, 451, Ñuñoa",2,2,53,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/3e91e904-a2d2-4748-8795-0bd65c0dfc8d_718A8913-HDR.jpg,Disponible
1.945,"San Pablo, 3610, Quinta Normal",2,1,44,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/47600b05-bc78-4946-a0a7-47b65b2aed18_718A0368.jpg,Disponible
2.070,"Mapocho, 1450, Santiago",1,1,35,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/87c0cbc6-2e08-4af3-be3a-c69dda5628b3_718A0966-HDR.jpg,Disponible
6.310,"Avenida Eliecer Parada , 1105, Ñuñoa",2,2,88,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/41a067c9-9ec7-4cc7-8a40-685e7895bea0_IMG_3267.jpg,Disponible
2.310,"Carmen, 616, Santiago",2,1,47,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/db64c21e-b3f7-4f4c-93c3-e6fd69f3aa1e_718A8896-HDR.jpg,Reservado
2.085,"Tarapaca, 1324, Santiago",1,1,36,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/6cd75714-0e3e-4caf-a5fe-97b9d70c2e1f_718A9783-HDR.jpg,Reservado
1.880,"Manuel Rodriguez Sur, 772, Santiago",1,1,35,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/6f286077-dbd7-4b61-a850-7856cbe6cd80_718A2486.jpg,Disponible
7.510,"Antonio Varas, 1610, Providencia",3,2,82.94,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/dcf3471b-3400-4c33-b9ce-288bd290d340_718A5891-HDR.jpg,Disponible
"3.777,16","Avenida Quilín, 107, Macul",3,2,66.96,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/d1672b26-c867-4a35-a8b4-b491a94b77ed_718A8547.jpg,Disponible
2.890,"Amunategui, 810, Santiago",2,2,60,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/076a5483-498e-424b-b0cc-3332a9b9674a_718A2313-HDR.jpg,Reservado
1.995,"Mapocho, 1450, Santiago",1,1,35,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/95e67532-283d-468a-a8a9-0cc7f2b3013c_718A9013-HDR.jpg,Disponible
2.810,"Avenida Quilín, 107, Macul",2,1,51.14,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/578fa0fb-4e7d-47eb-adc6-adc56f2af188_718A8547.jpg,Disponible
4.210,"Zañartu, 2558, Ñuñoa",2,2,58.28,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/b8bb73ac-9bfe-4121-b594-aec8d4780186_718A3117-HDR.jpg,Disponible
1.890,"Manuel Rodriguez Sur, 772, Santiago",1,1,30,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/00dd5a07-a6ad-48a8-a8a5-ba68c648fb59_718A1835-HDR.jpg,Disponible
1.795,"Nataniel Cox, 599, Santiago",1,1,28,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/6972b731-ceb5-4c58-9879-fda7cea781b1_718A9204-HDR.jpg,Disponible
2.610,"Eyzaguirre, 782, Santiago",2,2,51,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/ca295269-fb59-457b-bdf1-b2994559447a_718A7347-HDR.jpg,Disponible
2.160,"Tucapel Jimenez, 136, Santiago",1,1,36,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/e9d84406-bbb6-455f-b3ef-f4669a3a28e6_Captura%20de%20pantalla%202025-05-05%20a%20la(s)%204.42.55%E2%80%AFp.m.jpg,Disponible
1.930,"Carmen, 1153, Santiago",1,1,29,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/a8b6900a-20f4-4922-ace5-b29361a3e7d2_718A9111-HDR.jpg,Reservado
3.335,"Av. Dorsal, 824, Recoleta",3,2,58.6,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/33f37be6-462c-4b6b-adf4-75d28dd5c575_Fachada%20arreglada%20zoom.jpg,Disponible
1.860,"Nataniel Cox, 599, Santiago",1,1,30,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/1a6ba890-d9e5-402f-bb2d-74d450c774fe_718A2649-HDR.jpg,Disponible
2.155,"Tucapel Jimenez, 136, Santiago",1,1,34,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/156103ea-b310-4dea-bcbe-42de3def4ca8_718A7250-HDR.jpg,Disponible
2.440,"Av. Dorsal, 824, Recoleta",1,1,35,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/057850d8-9d7d-42b1-8c21-190c2b1cbce7_Fachada%20arreglada%20zoom.jpg,Disponible
